ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
16,0.284501216261635,=(B21-B19)/2,=G19+1,=D20-($A$2*D20-2*$A20*PI()-$C20*(D20-$A20)-$B20)/($A$2-$C20),=E20-($A$2*E20-2*$A20*PI()-$C20*(E20-$A20)-$B20)/($A$2-$C20),=F20-($A$2*F20-2*$A20*PI()-$C20*(F20-$A20)-$B20)/($A$2-$C20),=A20,=J20-H20,=G20
17,0.302265427096021,=(B22-B20)/2,=G20+1,=D21-($A$2*D21-2*$A21*PI()-$C21*(D21-$A21)-$B21)/($A$2-$C21),=E21-($A$2*E21-2*$A21*PI()-$C21*(E21-$A21)-$B21)/($A$2-$C21),=F21-($A$2*F21-2*$A21*PI()-$C21*(F21-$A21)-$B21)/($A$2-$C21),=A21,=J21-H21,=G21
18,0.320026550449583,=(B23-B21)/2,=G21+1,=D22-($A$2*D22-2*$A22*PI()-$C22*(D22-$A22)-$B22)/($A$2-$C22),=E22-($A$2*E22-2*$A22*PI()-$C22*(E22-$A22)-$B22)/($A$2-$C22),=F22-($A$2*F22-2*$A22*PI()-$C22*(F22-$A22)-$B22)/($A$2-$C22),=A22,=J22-H22,=G22
19,0.337784411831814,=(B24-B22)/2,=G22+1,=D23-($A$2*D23-2*$A23*PI()-$C23*(D23-$A23)-$B23)/($A$2-$C23),=E23-($A$2*E23-2*$A23*PI()-$C23*(E23-$A23)-$B23)/($A$2-$C23),=F23-($A$2*F23-2*$A23*PI()-$C23*(F23-$A23)-$B23)/($A$2-$C23),=A23,=J23-H23,=G23
20,0.355538837957212,=(B25-B23)/2,=G23+1,=D24-($A$2*D24-2*$A24*PI()-$C24*(D24-$A24)-$B24)/($A$2-$C24),=E24-($A$2*E24-2*$A24*PI()-$C24*(E24-$A24)-$B24)/($A$2-$C24),=F24-($A$2*F24-2*$A24*PI()-$C24*(F24-$A24)-$B24)/($A$2-$C24),=A24,=J24-H24,=G24
21,0.373289656807676,=(B26-B24)/2,=G24+1,=D25-($A$2*D25-2*$A25*PI()-$C25*(D25-$A25)-$B25)/($A$2-$C25),=E25-($A$2*E25-2*$A25*PI()-$C25*(E25-$A25)-$B25)/($A$2-$C25),=F25-($A$2*F25-2*$A25*PI()-$C25*(F25-$A25)-$B25)/($A$2-$C25),=A25,=J25-H25,=G25
22,0.391036697694176,=(B27-B25)/2,=G25+1,=D26-($A$2*D26-2*$A26*PI()-$C26*(D26-$A26)-$B26)/($A$2-$C26),=E26-($A$2*E26-2*$A26*PI()-$C26*(E26-$A26)-$B26)/($A$2-$C26),=F26-($A$2*F26-2*$A26*PI()-$C26*(F26-$A26)-$B26)/($A$2-$C26),=A26,=J26-H26,=G26
23,0.40877979131768,=(B28-B26)/2,=G26+1,=D27-($A$2*D27-2*$A27*PI()-$C27*(D27-$A27)-$B27)/($A$2-$C27),=E27-($A$2*E27-2*$A27*PI()-$C27*(E27-$A27)-$B27)/($A$2-$C27),=F27-($A$2*F27-2*$A27*PI()-$C27*(F27-$A27)-$B27)/($A$2-$C27),=A27,=J27-H27,=G27
24,0.426518769829295,=(B29-B27)/2,=G27+1,=D28-($A$2*D28-2*$A28*PI()-$C28*(D28-$A28)-$B28)/($A$2-$C28),=E28-($A$2*E28-2*$A28*PI()-$C28*(E28-$A28)-$B28)/($A$2-$C28),=F28-($A$2*F28-2*$A28*PI()-$C28*(F28-$A28)-$B28)/($A$2-$C28),=A28,=J28-H28,=G28
25,0.444253466889597,=(B30-B28)/2,=G28+1,=D29-($A$2*D29-2*$A29*PI()-$C29*(D29-$A29)-$B29)/($A$2-$C29),=E29-($A$2*E29-2*$A29*PI()-$C29*(E29-$A29)-$B29)/($A$2-$C29),=F29-($A$2*F29-2*$A29*PI()-$C29*(F29-$A29)-$B29)/($A$2-$C29),=A29,=J29-H29,=G29
26,0.46198371772712,=(B31-B29)/2,=G29+1,=D30-($A$2*D30-2*$A30*PI()-$C30*(D30-$A30)-$B30)/($A$2-$C30),=E30-($A$2*E30-2*$A30*PI()-$C30*(E30-$A30)-$B30)/($A$2-$C30),=F30-($A$2*F30-2*$A30*PI()-$C30*(F30-$A30)-$B30)/($A$2-$C30),=A30,=J30-H30,=G30
27,0.47970935919597,=(B32-B30)/2,=G30+1,=D31-($A$2*D31-2*$A31*PI()-$C31*(D31-$A31)-$B31)/($A$2-$C31),=E31-($A$2*E31-2*$A31*PI()-$C31*(E31-$A31)-$B31)/($A$2-$C31),=F31-($A$2*F31-2*$A31*PI()-$C31*(F31-$A31)-$B31)/($A$2-$C31),=A31,=J31-H31,=G31
28,0.497430229832545,=(B33-B31)/2,=G31+1,=D32-($A$2*D32-2*$A32*PI()-$C32*(D32-$A32)-$B32)/($A$2-$C32),=E32-($A$2*E32-2*$A32*PI()-$C32*(E32-$A32)-$B32)/($A$2-$C32),=F32-($A$2*F32-2*$A32*PI()-$C32*(F32-$A32)-$B32)/($A$2-$C32),=A32,=J32-H32,=G32
29,0.515146169911322,=(B34-B32)/2,=G32+1,=D33-($A$2*D33-2*$A33*PI()-$C33*(D33-$A33)-$B33)/($A$2-$C33),=E33-($A$2*E33-2*$A33*PI()-$C33*(E33-$A33)-$B33)/($A$2-$C33),=F33-($A$2*F33-2*$A33*PI()-$C33*(F33-$A33)-$B33)/($A$2-$C33),=A33,=J33-H33,=G33
30,0.532857021499697,=(B35-B33)/2,=G33+1,=D34-($A$2*D34-2*$A34*PI()-$C34*(D34-$A34)-$B34)/($A$2-$C34),=E34-($A$2*E34-2*$A34*PI()-$C34*(E34-$A34)-$B34)/($A$2-$C34),=F34-($A$2*F34-2*$A34*PI()-$C34*(F34-$A34)-$B34)/($A$2-$C34),=A34,=J34-H34,=G34
31,0.550562628511844,=(B36-B34)/2,=G34+1,=D35-($A$2*D35-2*$A35*PI()-$C35*(D35-$A35)-$B35)/($A$2-$C35),=E35-($A$2*E35-2*$A35*PI()-$C35*(E35-$A35)-$B35)/($A$2-$C35),=F35-($A$2*F35-2*$A35*PI()-$C35*(F35-$A35)-$B35)/($A$2-$C35),=A35,=J35-H35,=G35
